%time,field.header.seq,field.header.stamp,x,y,z
1684310333726761504,7440,1684310333726396322,1.0718254040111788,2.638593390583992,57.594
1684310333776832640,7441,1684310333776431083,1.0971851331996731,2.6746895015239716,57.5899
1684310333826656960,7442,1684310333826263189,1.1276015281328,2.7062574005685747,57.5816
1684310333877600608,7443,1684310333877196550,1.1528987435740419,2.739029860123992,57.5745
1684310333927580448,7444,1684310333927151203,1.170999935013242,2.771937666926533,57.5648
1684310333977732160,7445,1684310333977411746,1.2012287909165025,2.7935346141457558,57.5563
1684310334027546112,7446,1684310334027139902,1.2254146509221755,2.8218948752619326,57.5798
1684310334074822112,7447,1684310334074167966,1.249621348513756,2.851363019552082,57.6037
1684310334124665120,7448,1684310334124273300,1.2695910066831857,2.874261203687638,57.6226
1684310334176748064,7449,1684310334176205158,1.2895815038355067,2.898267271928489,57.6181
1684310334227271840,7450,1684310334226826190,1.313725687970873,2.9244117652997375,57.6107
1684310334282719520,7451,1684310334282281875,1.332813207351137,2.955084470100701,57.6031
1684310334328558240,7452,1684310334328113079,1.366209422412794,2.981054945848882,57.6162
1684310334378705184,7453,1684310334378280162,1.3924721265793778,3.010484419297427,57.6048
1684310334428957088,7454,1684310334428486108,1.4178318556514569,3.0465805302374065,57.6027
1684310334480288128,7455,1684310334479846477,1.4672176932217553,3.0478682019747794,57.5859
1684310334526963840,7456,1684310334526675224,1.4954322166158818,3.071719587314874,57.568
1684310334577657056,7457,1684310334577330350,1.5247372548328713,3.098875288851559,57.5761
1684310334627392352,7458,1684310334627066373,1.555049459275324,3.1249037701636553,57.5817
1684310334677281600,7459,1684310334676858663,1.5823610047227703,3.1554217929951847,57.5746
1684310334728009824,7460,1684310334727600812,1.6065677024889737,3.184889937750995,57.5772
1684310334774167648,7461,1684310334773861885,1.6399222409818321,3.2086446471512318,57.5883
1684310334826703104,7462,1684310334826314926,1.6732559415977448,3.2312914724461734,57.587
1684310334874849504,7463,1684310334874485731,1.6942536027054302,3.2541703209280968,57.5873
1684310334924978144,7464,1684310334924664974,1.7213776068529114,3.274717391934246,57.5963
1684310334977259296,7465,1684310334976827621,1.7475569602102041,3.29971533222124,57.6001
1684310335024944704,7466,1684310335024482727,1.768658808490727,3.328133599832654,57.5937
1684310335077704768,7467,1684310335077348709,1.7938935098354705,3.357582409400493,57.5875
1684310335127865632,7468,1684310335127449750,1.8139881916576996,3.387127895373851,57.6021
1684310335177703072,7469,1684310335177315950,1.8371460479684174,3.415507492609322,57.5915
1684310335227135808,7470,1684310335226690053,1.8653814066783525,3.4404667620547116,57.5831
1684310335286790560,7471,1684310335286164283,1.8914774073055014,3.4610331673175097,57.5732
1684310335328994048,7472,1684310335328543663,1.9105024117743596,3.4883822221308947,57.5739
1684310335378824384,7473,1684310335378399133,1.934688269335311,3.516742483712733,57.5886
1684310335429647776,7474,1684310335429255247,1.957887799537275,3.547337848227471,57.6056
1684310335477820736,7475,1684310335477336406,1.9727799522224814,3.5736563596874475,57.5969
1684310335528315616,7476,1684310335527302980,1.9897281117737293,3.599936201237142,57.5918
1684310335577782848,7477,1684310335577359676,2.006634595862124,3.624000276438892,57.5905
1684310335627372960,7478,1684310335626889705,2.0256804364034906,3.6524572144262493,57.6017
1684310335676687200,7479,1684310335676321268,2.045775118691381,3.6820027008652687,57.5941
1684310335726883040,7480,1684310335726541757,2.0699609758448787,3.7103629619814456,57.5995
